Name,Rating,Size,Industry,Job_Count,Location
Amazon,4.3,10000+ Employees,Internet & Web Services,11T,12 office locations in United Kingdom
IBM,4.2,10000+ Employees,Information Technology Support Services,6.6T,www.ibm.com/jobs/uk
Tata Consultancy Services,3.9,10000+ Employees,Computer Hardware Development,768,"Tata Consultancy Services Northcliffe House 5th Floor, 2 Derry Street London - W8 5TT United Kingdom"
Google,4.5,10000+ Employees,Internet & Web Services,1T,United Kingdom
Capgemini,4.0,10000+ Employees,Enterprise Software & Network Solutions,8.9T,2 office locations in United Kingdom
Apple,4.3,10000+ Employees,Computer Hardware Development,4.9T,United Kingdom
Cognizant Technology Solutions,3.9,10000+ Employees,Information Technology Support Services,4.7T,United Kingdom
Microsoft,4.4,10000+ Employees,Computer Hardware Development,1.5T,United Kingdom
Infosys,3.9,10000+ Employees,Information Technology Support Services,2.6T,2 office locations in United Kingdom
Oracle,3.9,10000+ Employees,Enterprise Software & Network Solutions,4.2T,United Kingdom
Meta,4.2,10000+ Employees,Internet & Web Services,1.6T,United Kingdom
Wipro,3.8,10000+ Employees,Information Technology Support Services,2.1T,3 office locations in United Kingdom
Cisco Systems,4.4,10000+ Employees,Enterprise Software & Network Solutions,964,United Kingdom
Bloomberg L.P.,4.1,10000+ Employees,Computer Hardware Development,764,2 office locations in United Kingdom
Salesforce,4.5,10000+ Employees,Enterprise Software & Network Solutions,583,United Kingdom
DXC Technology,3.6,10000+ Employees,Information Technology Support Services,1.7T,United Kingdom
Concentrix,4.1,10000+ Employees,Information Technology Support Services,2.4T,3 office locations in United Kingdom
SAP,4.4,10000+ Employees,Enterprise Software & Network Solutions,1.1T,United Kingdom
Dell Technologies,4.3,10000+ Employees,Information Technology Support Services,657,United Kingdom
Thomson Reuters,4.3,10000+ Employees,Enterprise Software & Network Solutions,108,"5 Canada Square, Canary Wharf, London, United Kingdom"
HCLTech,3.7,10000+ Employees,Computer Hardware Development,369,United Kingdom
Hewlett Packard Enterprise | HPE,4.2,10000+ Employees,Information Technology Support Services,1.9T,United Kingdom
Booking.com,4.0,10000+ Employees,Internet & Web Services,337,3 office locations in United Kingdom
Atos,3.7,10000+ Employees,Information Technology Support Services,1.9T,United Kingdom
Fujitsu,3.7,10000+ Employees,Enterprise Software & Network Solutions,2.9T,15 office locations in United Kingdom
Tech Mahindra,3.6,10000+ Employees,Information Technology Support Services,532,United Kingdom
Intel Corporation,4.3,10000+ Employees,Computer Hardware Development,1.5T,United Kingdom
Honeywell,4.0,10000+ Employees,Computer Hardware Development,3T,United Kingdom
Expedia Group,4.1,10000+ Employees,Internet & Web Services,641,2 office locations in United Kingdom
FDM Group,3.5,5001 to 10000 Employees,Information Technology Support Services,175,4 office locations in United Kingdom
Arm,4.2,1001 to 5000 Employees,Computer Hardware Development,347,4 office locations in United Kingdom
Sage,4.2,10000+ Employees,Enterprise Software & Network Solutions,282,5 office locations in United Kingdom
NTT DATA,3.9,10000+ Employees,Information Technology Support Services,8.4T,United Kingdom
Visa Inc.,4.1,10000+ Employees,Information Technology Support Services,510,2 office locations in United Kingdom
ADP,4.0,10000+ Employees,Enterprise Software & Network Solutions,1.6T,United Kingdom
Qualcomm,4.2,10000+ Employees,Computer Hardware Development,7,3 office locations in United Kingdom
VMware,4.4,10000+ Employees,Enterprise Software & Network Solutions,1.6T,River Park Avenue
Deliveroo,3.8,1001 to 5000 Employees,Internet & Web Services,152,12 office locations in United Kingdom
Sports Direct,3.2,10000+ Employees,Sporting Goods Stores,170,25 office locations in United Kingdom
Sopra Steria,3.8,10000+ Employees,Information Technology Support Services,1.1T,United Kingdom
Adobe,4.4,10000+ Employees,Computer Hardware Development,760,2 office locations in United Kingdom
